question,answer,difficulty,topic,data_science_question
How do we select the number of trees in random forest model?,Answer here,intermediate,feature selection,1
What are good baselines when building a recommender system?,"* A good recommer system should give relevant and personalized information.
* It should not recommend items the user knows well or finds easily.
* It should make diverse suggestions.
* A user should explore new items.",intermediate,recommender systems,1
What are the problems with using trees for solving time series problems?,Random Forest models are not able to extrapolate time series data and understand increasing/decreasing trends. It will provide us with average data points if the validation data has values greater than the training data points.,intermediate,time series,1
Do you know any other ways to get word embeddings?,"- TF-IDF
- GloVe
- BERT",advanced,text classification,1
What are the core principles of a good recommender system?,Answer here,beginner,recommender systems,1
What are the differences between gradient boosting trees and XGBoost?,Answer here,advanced,feature selection,1
How do you find the mean and standard deviation of a set of numbers?,Answer here,intermediate,unsupervised learning,1
Do you have any experience in using XGBoost for text classification?,Answer here,advanced,text classification,1
What is your favorite time of year?,,,,0
How do you approach the problem of building recommender systems?,Answer here,intermediate,recommender systems,1
What is the difference between XGBoost and LightGBM in terms of accuracy?,Answer here,advanced,feature selection,1
How do we use the regression model?,Answer here,beginner,supervised learning,1
What do you think of the movie?,,,,0
"What are precision, recall, and F1-score?","* Precision and recall are classification evaluation metrics:
* P = TP / (TP + FP) and R = TP / (TP + FN).
* Where TP is true positives, FP is false positives and FN is false negatives
* In both cases the score of 1 is the best: we get no false positives or false negatives and only true positives.
* F1 is a combination of both precision and recall in one score (harmonic mean):
* F1 = 2 * PR / (P + R).
* Max F score is 1 and min is 0, with 1 being the best.",beginner,classification,1
What are the advantages and disadvantages of bag of words?,"Advantages:
1. Simple to understand and implement.

Disadvantages:
1. The vocabulary requires careful design, most specifically in order to manage the size, which impacts the sparsity of the document representations.
2. Sparse representations are harder to model both for computational reasons (space and time complexity) and also for information reasons
3. Discarding word order ignores the context, and in turn meaning of words in the document. Context and meaning can offer a lot to the model, that if modeled could tell the difference between the same words differently arranged (“this is interesting” vs “is this interesting”), synonyms (“old bike” vs “used bike”).",intermediate,text classification,1
what are you thankful for this year?,,,,0
What do you think is the best way to go about doing research on a topic?,,,,0
What are the problems you can face when building a recommender system?,Answer here,intermediate,recommender systems,1
2/3 of the voters in a certain country are women. What is the probability that a randomly selected voter is a woman?,,,,0
Do you have a favorite place to visit in the United States?,,,,0
What is the difference between an algorithm and a program?,Answer here,intermediate,unsupervised learning,1
Which of the following is not an example of a natural resource?,,,,0
Why is it that when I look at a picture of the moon I can’t see any craters?,,,,0
"How do you calculate the expected value of a random variable, given its probability distribution?",Answer here,intermediate,supervised learning,1
What is the difference between linear regression and ridge regression?,Answer here,beginner,supervised learning,1
How can we use unsupervised learning techniques for recommender systems?,Answer here,intermediate,unsupervised learning,1
What are the key differences between supervised and unsupervised machine learning techniques?,Answer here,beginner,unsupervised learning,1
What are recommender systems? What do we use them for?,Answer here,beginner,recommender systems,1
How many years does it take for the sun to revolve around the earth?,,,,0
How do you get your students to think about the world around them?,,,,0
What is the role of machine learning in data science?,Answer here,beginner,supervised learning,1
Can we use L1 regularization for feature selection?,"Yes, because the nature of L1 regularization will lead to sparse coefficients of features. Feature selection can be done by keeping only features with non-zero coefficients.",intermediate,feature selection,1
Does anyone know if there is a way to turn off the automatic scrolling on the map when you are zoomed in?,,,,0
Is feature selection important for linear models?,"Yes, It is. It can make model performance better through selecting the most importance features and remove irrelevant features in order to make a prediction and it can also avoid overfitting, underfitting and bias-variance tradeoff.",intermediate,feature selection,1
How do regularization techniques like L1 and L2 work?,Answer here,intermediate,regularization,1
How many of you have been in a situation where you were the only one who knew what was going on?,,,,0
What is your favorite thing to eat for breakfast?,,,,0
What would you do if you had to pick one book from your shelf right now?,,,,0
How did you come to be interested in photography?,,,,0
What is unsupervised learning?,Unsupervised learning aims to detect patterns in data where no labels are given.,beginner,unsupervised learning,1
What are the possible solutions to the cold start problem?,Answer here,intermediate,recommender systems,1
How can we use machine learning techniques for ranking?,Answer here,intermediate,unsupervised learning,1
What do you mean by “data mining”?,Answer here,intermediate,unsupervised learning,1
what is the difference between a man and a woman?,,,,0
How do we use SGD (stochastic gradient descent) for training a neural net?,"SGD approximates the expectation with few randomly selected samples (instead of the full data). In comparison to batch gradient descent, we can efficiently approximate the expectation in large data sets using SGD. For neural networks this reduces the training time a lot even considering that it will converge later as the random sampling adds noise to the gradient descent.",intermediate,neural networks,1
What is the difference between gradient boosting trees and XGBoost?,Answer here,advanced,feature selection,1
What is the most important thing you can do to help your students learn?,,,,0
Why do you want to be a teacher?,,,,0
What do you consider to be your greatest strength?,,,,0
Why do people not seem to be able to understand the concept of a fixed point?,,,,0
What’s the most important thing you do to improve your health?,,,,0
Why is it that we do not see the stars at night?,,,,0
How do you evaluate your regression models?,Answer here,beginner,supervised learning,1
Do you know any other ways to use word embeddings?,Answer here,advanced,text classification,1
What is the difference between a “good” and a “bad” teacher?,,,,0
Do you have an opinion on the subject?,,,,0
What do you think is the most important thing to look for when choosing a new dentist?,,,,0
what is the best way to find out how many people in a given age group have received a certain vaccine?,,,,0
What is the name of the game that you play most often?,,,,0
Do you have a favorite food or drink that you always order when you go out to eat?,,,,0
What is time series and how it is different from the regression?,Answer here,beginner,time series,1
What do you think is the most important part of a good novel?,,,,0
How can we use word embeddings for NLP tasks?,Answer here,advanced,text classification,1
What are the advantages and disadvantages of machine learning algorithms?,Answer here,intermediate,unsupervised learning,1
How large should be N for our bag of words when using N-grams?,Answer here,intermediate,text classification,1
What is the best way to deal with a situation where you have to write an email to a client and it’s going to be read by at least one person who doesn’t speak English?,,,,0
How do we interpret the regularization parameters in linear models?,Answer here,intermediate,regularization,1
What is random forest? When do we need it?,Answer here,beginner,feature selection,1
If you were to die today how would you like your body to be preserved?,,,,0
What is the difference between K-fold cross-validation and Leave-one-out cross-validation?,Answer here,beginner,supervised learning,1
What do you think of the current state of the Republican Party?,,,,0
What are the main differences between CNN and RNN?,Answer here,advanced,neural networks,1
What is the cold start problem? What can cause it?,Answer here,intermediate,recommender systems,1
Can you give an example of how you would use word embeddings for text classification?,Answer here,advanced,text classification,1
How do you deal with time series problems?,Answer here,beginner,time series,1
10 years ago how would you have described yourself?,,,,0
How much do you know about your body?,,,,0
Is logistic regression a linear model? Why?,"Yes, Logistic Regression is considered a generalized linear model because the outcome always depends on the sum of the inputs and parameters. Or in other words, the output cannot depend on the product (or quotient, etc.) of its parameters.",beginner,classification,1
What is classification problem?,Answer here,beginner,classification,1
Do you think that people who have a lot of money should pay more taxes?,,,,0
How do you determine which machine learning model is best for the given problem?,Answer here,beginner,supervised learning,1
What do you consider to be the most important part of a successful business relationship?,,,,0
If we were to look at the universe as a whole how many stars are there?,,,,0
what do you like to do when you're not working?,,,,0
How would you use word embeddings for text classification?,Answer here,advanced,text classification,1
You are building a new machine learning model for your company. What is the first thing you would do to ensure that the model will work well on your data?,Answer here,intermediate,supervised learning,1
How do you decide when to stop training a neural net?,Answer here,beginner,neural networks,1
What is the difference between a good and bad day?,,,,0
What is your favorite piece of clothing?,,,,0
Is there any difference between linear models and logistic regression?,Answer here,intermediate,classification,1
If you were to create a list of the most influential books in modern literature what would be on it?,,,,0
How would you use bag of words for text classification with bag of words?,Answer here,advanced,text classification,1
What do you think of this?,,,,0
Explain the importance of building a recommender system and how it can help companies to build their business?,Answer here,advanced,recommender systems,1
How to handle missing values in linear models?,Answer here,intermediate,regularization,1
how often do you think about death?,,,,0
What are the different approaches that can be used to build recommender systems?,Answer here,intermediate,recommender systems,1
Do you know what the difference is between a “fishing license” and a “fishing permit”?,,,,0
What are the main types of regularization techniques in linear models?,Answer here,intermediate,regularization,1
What would you do if you won the lottery?,,,,0
What is your favorite way to eat eggs?,,,,0
What is your favorite place to eat in the Twin Cities?,,,,0
What is the name of this book?,,,,0
How would you approach the cold start problem in recommender systems?,Answer here,intermediate,recommender systems,1
How do we compute the L2 regularization parameter for linear models?,Answer here,intermediate,regularization,1
What are the benefits of using GPUs for training deep neural nets?,Answer here,intermediate,neural networks,1
What’s the difference between L2 and L1 regularization?,"- Penalty terms: L1 regularization uses the sum of the absolute values of the weights, while L2 regularization uses the sum of the weights squared.
- Feature selection: L1 performs feature selection by reducing the coefficients of some predictors to 0, while L2 does not.
- Computational efficiency: L2 has an analytical solution, while L1 does not.
- Multicollinearity: L2 addresses multicollinearity by constraining the coefficient norm.",intermediate,regularization,1
How can we deal with the imbalanced class distribution in machine learning?,Answer here,beginner,supervised learning,1
What do you know about linear regression?,Answer here,beginner,supervised learning,1
How do we select the right regularization parameters?,"Regularization parameters can be chosen using a grid search, for example https://scikit-learn.org/stable/modules/linear_model.html has one formula for the implementing for regularization, alpha in the formula mentioned can be found by doing a RandomSearch or a GridSearch on a set of values and selecting the alpha which gives the least cross validation or validation error.",beginner,regularization,1
How do we use unsupervised learning for ranking?,Answer here,intermediate,unsupervised learning,1
Possible approaches to solving the problem of unsupervised learning?,Answer here,intermediate,unsupervised learning,1
What is your favorite time of day?,,,,0
What is supervised machine learning?,"Supervised learning is a type of machine learning in which our algorithms are trained using well-labeled training data, and machines predict the output based on that data. Labeled data indicates that the input data has already been tagged with the appropriate output. Basically, it is the task of learning a function that maps the input set and returns an output. Some of its examples are: Linear Regression, Logistic Regression, KNN, etc.",beginner,supervised learning,1
"Given a dataset, how do you determine the number of unique values in each column?",Answer here,intermediate,classification,1
What is the name of the city where I was born?,,,,0
What is the best way to use word embeddings for document classification?,Answer here,advanced,text classification,1
How do you find out what the current price of a commodity is?,,,,0
What is accuracy?,Accuracy is a metric for evaluating classification models. It is calculated by dividing the number of correct predictions by the number of total predictions.,beginner,classification,1
What is the concept of “batch” in machine learning?,Answer here,beginner,unsupervised learning,1
Have you ever heard of the term “cognitive dissonance”?,,,,0
What are the different types of feature selection methods available in scikit-learn?,Answer here,intermediate,feature selection,1
what is your favorite color?,,,,0
What are your thoughts on the idea of a “one-size-fits-all” approach to education?,,,,0
What is the name of this song?,,,,0
What is the difference between supervised learning and unsupervised learning?,Answer here,beginner,unsupervised learning,1
Do you have a favourite country to travel to?,,,,0
Do you know how to use CNNs for text classification?,Answer here,advanced,text classification,1
What is recommender systems?,Answer here,beginner,recommender systems,1
What is linear regression and what are its advantages?,Answer here,beginner,supervised learning,1
How do we handle categorical variables in decision trees?,"Some decision tree algorithms can handle categorical variables out of the box, others cannot. However, we can transform categorical variables, e.g. with a binary or a one-hot encoder.",intermediate,feature selection,1
If you could only eat one kind of food for the rest of your life what would it be?,,,,0
Which regularization techniques do you know?,"There are mainly two types of regularization,
1. L1 Regularization (Lasso regularization) - Adds the sum of absolute values of the coefficients to the cost function. <img src=""https://render.githubusercontent.com/render/math?math=\lambda\sum_{i=1}^{n} \left | w_i 
ight |"">
2. L2 Regularization (Ridge regularization) - Adds the sum of squares of coefficients to the cost function. <img src=""https://render.githubusercontent.com/render/math?math=\lambda\sum_{i=1}^{n} {w_{i}}^{2}"">

* Where <img src=""https://render.githubusercontent.com/render/math?math=\lambda""> determines the amount of regularization.",intermediate,regularization,1
Do you know how to make a pie crust with just butter and flour?,,,,0
What is your favorite place to go for a walk?,,,,0
What’s your favorite thing to do on a rainy day?,,,,0
How would you handle the cold start problem?,Answer here,intermediate,recommender systems,1
What are the advantages of using word embeddings?,Answer here,advanced,text classification,1
What is the probability that a random sample of 5 items drawn from a bag will contain at least one red item?,Answer here,intermediate,supervised learning,1
What is the name of this type of tree?,,,,0
"What is the difference between a ""single"" and a ""dual"" processor?",,,,0
how many of you have had the experience of someone telling you they were doing something for you when in fact they were not?,,,,0
How would you use machine learning for text classification with embeddings?,Answer here,intermediate,text classification,1
What is Time Series?,Answer here,beginner,time series,1
What do you think of the new design?,,,,0
How to select the number of trees in Random Forest?,Answer here,intermediate,feature selection,1
Why do we need to use AU PR?,Answer here,intermediate,classification,1
What is the name of your blog?,,,,0
How would you use bag of words for text classification?,Answer here,intermediate,text classification,1
How can you use N-grams for text classification?,Answer here,advanced,text classification,1
What do you think of the idea of a “sacred” space?,,,,0
What is the difference between clustering and classification?,Answer here,beginner,unsupervised learning,1
What are the benefits of using Python to do machine learning in production?,Answer here,beginner,unsupervised learning,1
How do you deal with the curse of dimensionality in machine learning?,Answer here,intermediate,unsupervised learning,1
What’s the cold start problem?,Answer here,intermediate,recommender systems,1
What is the difference between unsupervised learning and supervised learning?,Answer here,beginner,unsupervised learning,1
How do we deal with missing values in machine learning models?,Answer here,intermediate,supervised learning,1
"How do you select the best feature importance metrics for XGBoost or LightGBM in terms of accuracy, F1 score, etc?",Answer here,advanced,feature selection,1
What would you do if you were stuck on a desert island with no food; no water and no means of communication?,,,,0
What is the difference between Random Forest and Gradient Boosting Trees?,Answer here,intermediate,feature selection,1
What regularization techniques do we have?,Answer here,intermediate,regularization,1
What is the difference between random forest model and gradient boosting tree model?,Answer here,intermediate,feature selection,1
what is the difference between an A4 and an A5 sheet of paper?,,,,0
What do you think is the most effective way to learn a new language?,,,,0
How do we decide when to stop training?,Answer here,beginner,neural networks,1
What is the PR (precision-recall) curve?,A *precision*-*recall curve* (or PR Curve) is a plot of the precision (y-axis) and the recall (x-axis) for different probability thresholds. Precision-recall curves (PR curves) are recommended for highly skewed domains where ROC curves may provide an excessively optimistic view of the performance.,intermediate,classification,1
1+2+3+4+5+6+7+8+9+10 = 55. What is the sum of the first 100 natural numbers?,,,,0
How many of you have ever wondered if it’s a good idea to get involved in your local government?,,,,0
What is the contrastive learning method?,Answer here,intermediate,supervised learning,1
What is the difference between text classification and text clustering?,Answer here,advanced,text classification,1
What are the main types of time series?,Answer here,intermediate,time series,1
2x+3y=6 and 3x-2y=4 are both linear equations. If the graph of the system is a straight line what is the slope of the line?,,,,0
What are the different types of recommender systems?,Answer here,beginner,recommender systems,1
How can we use the gradient boosting trees for text classification?,Answer here,advanced,text classification,1
What is the best way to get from A to B?,,,,0
What methods for solving linear regression do you know?,"To solve linear regression, you need to find the coefficients <img src=""https://render.githubusercontent.com/render/math?math=eta""> which minimize the sum of squared errors.

Matrix Algebra method: Let's say you have `X`, a matrix of features, and `y`, a vector with the values you want to predict. After going through the matrix algebra and minimization problem, you get this solution: <img src=""https://render.githubusercontent.com/render/math?math=eta = (X^{T}X)^{-1}X^{T}y"">. 

But solving this requires you to find an inverse, which can be time-consuming, if not impossible. Luckily, there are methods like Singular Value Decomposition (SVD) or QR Decomposition that can reliably calculate this part <img src=""https://render.githubusercontent.com/render/math?math=(X^{T}X)^{-1}X^{T}""> (called the pseudo-inverse) without actually needing to find an inverse. The popular python ML library `sklearn` uses SVD to solve least squares.

Alternative method: Gradient Descent. See explanation below.",intermediate,supervised learning,1
How can we use text classification to classify tweets based on their sentiments?,Answer here,advanced,text classification,1
If you could have any animal as a pet what would it be and why?,,,,0
Is there a way to get rid of the blue bar at the top of the screen?,,,,0
How can we use machine learning techniques to improve our search engine ranking algorithms?,Answer here,intermediate,unsupervised learning,1
How do we deal with missing values in linear models?,Answer here,intermediate,regularization,1
What is mean average precision at k?,Answer here,intermediate,unsupervised learning,1
What is the name of the guy who wrote the book The Great Gatsby?,,,,0
Do you have any suggestions for a good book to read in order to learn how to be a better parent?,,,,0
Is it possible to do linear models with more than one feature?,Answer here,intermediate,regularization,1
What do we mean by deep learning?,Answer here,intermediate,unsupervised learning,1
What is machine learning and how does it differ from deep learning?,Answer here,beginner,unsupervised learning,1
Tell me about the difference between linear regression and logistic regression?,Answer here,beginner,classification,1
How can you use XGBoost for text classification?,Answer here,advanced,text classification,1
Do you ever feel like your life is in a rut and you’re just going through the motions?,,,,0
How do you deal with the cold start problem in recommender systems?,Answer here,intermediate,recommender systems,1
What is precision and recall at k?,"Precision at k and recall at k are evaluation metrics for ranking algorithms. Precision at k shows the share of relevant items in the first *k* results of the ranking algorithm. And Recall at k indicates the share of relevant items returned in top *k* results out of all correct answers for a given query.

Example:
For a search query ""Car"" there are 3 relevant products in your shop. Your search algorithm returns 2 of those relevant products in the first 5 search results.
Precision at 5 = # num of relevant products in search result / k = 2/5 = 40%
Recall at 5 = # num of relevant products in search result / # num of all relevant products = 2/3 = 66.6%",intermediate,unsupervised learning,1
What are the key steps in building a machine learning model?,Answer here,intermediate,supervised learning,1
Is it possible to use the random forest model for binary classification?,Answer here,beginner,feature selection,1
What is ROC PR?,Answer here,intermediate,classification,1
"How many of you have seen the movie ""The Devil Wears Prada""?",,,,0
What is random forest model?,Answer here,beginner,feature selection,1
What are the challenges in using machine learning and deep learning for NLP?,Answer here,beginner,unsupervised learning,1
What do you think of the new iPhone 6s?,,,,0
What is clustering? When do we need it?,Clustering algorithms group objects such that similar feature points are put into the same groups (clusters) and dissimilar feature points are put into different clusters.,beginner,unsupervised learning,1
What was the first thing you did when you woke up this morning?,,,,0
What’s the most important thing you can do to be a better leader?,,,,0
Possible approaches to solving the problem of building a good baselines?,Answer here,intermediate,recommender systems,1
How can we use CNN for text classification?,Answer here,advanced,text classification,1
Is it possible to make a non-convex function of two variables convex?,,,,0
What if we want to build a recommender system for movies?,Answer here,intermediate,recommender systems,1
What are some problems with using trees for solving time series problems?,Answer here,intermediate,time series,1
How do we deal with the imbalanced dataset in classification and regression tasks?,Answer here,beginner,classification,1
How do we choose the best number of trees in random forest model?,Answer here,intermediate,feature selection,1
What is a recommender system?,Recommender systems are software tools and techniques that provide suggestions for items that are most likely of interest to a particular user.,beginner,recommender systems,1
Why do we actually need convolutions? Can’t we use fully-connected layers for that?,"A fully-connected layer needs one weight per inter-layer connection, which means the number of weights which needs to be computed quickly balloons as the number of layers and nodes per layer is increased.",intermediate,neural networks,1
Possible approaches to solving the cold start problem?,"* Content-based filtering incorporates features about items to calculate a similarity between them. In this way, we can recommend items that have a high similarity to items that a user liked already. In this way, we are not dependent on the ratings of other users for a given item anymore and solve the cold start problem for new items.
* Demographic filtering incorporates user profiles to calculate a similarity between them and solves the cold start problem for new users.",advanced,recommender systems,1
What is the best way to get rid of a bug?,,,,0
Why is it that when I type in the address of a web page on my browser I can't click on the hyperlink?,,,,0
Do you know how to use XGBoost for ranking?,Answer here,advanced,unsupervised learning,1
Do you have any tips for me?,,,,0
How would you approach this problem?,Answer here,intermediate,unsupervised learning,1
What are the odds of getting hit by lightning in your life?,,,,0
What is the best way to make sure that your child gets a good night’s sleep?,,,,0
What are the differences between linear models and non-linear models?,Answer here,intermediate,regularization,1
Do you have any advice for someone who wants to start their own business but doesn't know where to begin?,,,,0
How do we define machine learning?,Answer here,beginner,unsupervised learning,1
What is the difference between Linear models and Nonlinear models?,Answer here,intermediate,regularization,1
What are the differences between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs)?,Answer here,intermediate,neural networks,1
What is the best way to clean your teeth?,,,,0
Do you know any other ways to use XGBoost or LightGBM for text classification?,Answer here,advanced,text classification,1
Why do we use random forest model for feature selection?,Answer here,beginner,feature selection,1
Is it possible to have a non-negative integer as the length of a sequence?,,,,0
What is the state-of-the-art in unsupervised learning?,Answer here,beginner,unsupervised learning,1
What are neural nets?,Answer here,intermediate,neural networks,1
How can we use unsupervised learning algorithms to build recommender systems?,Answer here,intermediate,unsupervised learning,1
How can we use machine learning?,Answer here,beginner,unsupervised learning,1
Do you know how K-means works?,"1. Partition points into k subsets.
2. Compute the seed points as the new centroids of the clusters of the current partitioning.
3. Assign each point to the cluster with the nearest seed point.
4. Go back to step 2 or stop when the assignment does not change.",intermediate,unsupervised learning,1
How many of you have been to the movies recently?,,,,0
How do we measure the quality of our machine learning models?,Answer here,beginner,supervised learning,1
How to deal with missing values in linear models?,Answer here,intermediate,regularization,1
Do we need to normalize the input features in linear models?,Answer here,intermediate,regularization,1
What is logistic regression? When do we need to use it?,"Logistic regression is a Machine Learning algorithm that is used for binary classification. You should use logistic regression when your Y variable takes only two values, e.g. True and False, ""spam"" and ""not spam"", ""churn"" and ""not churn"" and so on. The variable is said to be a ""binary"" or ""dichotomous"".",beginner,classification,1
What is the average speed of light?,,,,0
Possible approaches to solving the recommender system problem?,Answer here,intermediate,recommender systems,1
Do you have any idea what's going to happen in this year?,,,,0
What is the difference between random forest and gradient boosting trees?,Answer here,intermediate,feature selection,1
What is the difference between random forest model and gradient boosting model?,Answer here,intermediate,feature selection,1
Can you tell us more about how you would use XGBoost or LightGBM to solve the recommendation system problem?,Answer here,advanced,recommender systems,1
10 years ago how many of you would have predicted that the US would be at war with Iraq?,,,,0
What do you know about time series and how it is used in forecasting?,Answer here,beginner,time series,1
How do we interpret the coefficients of linear models?,Answer here,intermediate,classification,1
How can you use word embeddings for text classification?,Answer here,advanced,text classification,1
What do we mean by overfitting?,Answer here,beginner,unsupervised learning,1
How would you use machine learning to solve this problem?,Answer here,beginner,unsupervised learning,1
What is deep learning and how does it differ from traditional machine learning?,Answer here,beginner,unsupervised learning,1
How do we choose the best number of components to use in linear models?,Answer here,intermediate,regularization,1
What is the difference between 2D and 3D data?,Answer here,intermediate,supervised learning,1
Have you ever been in a situation where you had to make a decision and didn’t know what to do?,,,,0
What is the difference between XGBoost and Gradient Boosting trees?,Answer here,advanced,feature selection,1
How do we train decision trees?,"1. Start at the root node.
2. For each variable X, find the set S_1 that minimizes the sum of the node impurities in the two child nodes and choose the split {X*,S*} that gives the minimum over all X and S.
3. If a stopping criterion is reached, exit. Otherwise, apply step 2 to each child node in turn.",intermediate,feature selection,1
How did you get started with this hobby?,,,,0
What is the name of the city in which you were born?,,,,0
What are the best ways to find out what you’re good at?,,,,0
Cold start problem?,Answer here,intermediate,recommender systems,1
2D Convolutional Neural Network (CNN) for Image Classification with Keras. How to set the number of filters in the first convolutional layer?,Answer here,intermediate,neural networks,1
What is time series analysis?,Answer here,beginner,time series,1
What do we mean by regression analysis?,Answer here,beginner,unsupervised learning,1
Can you tell me a little bit about your family and how you met?,,,,0
What is your favorite place to eat in the city?,,,,0
What is the most common type of hair loss?,,,,0
Have you ever seen a movie where the lead character has a different name than his or her real name?,,,,0
How do we use word embeddings?,Answer here,advanced,text classification,1
How many times have you seen a movie that you loved so much it changed the way you view the world?,,,,0
What are your thoughts on this one?,,,,0
what is the best way to make a list of books you’ve read?,,,,0
How do we choose K for K-fold cross-validation?,Answer here,beginner,supervised learning,1
What is the best way to go about this problem?,,,,0
What is AUC (AU ROC)? When to use it?,"AUC stands for *Area Under the ROC Curve*. ROC is a probability curve and AUC represents degree or measure of separability. It's used when we need to value how much model is capable of distinguishing between classes.  The value is between 0 and 1, the higher the better.",intermediate,classification,1
What is your favorite thing to do when you have a few minutes to yourself?,,,,0
what are you currently reading?,,,,0
How do you evaluate your models?,Answer here,beginner,classification,1
What is the purpose of K-fold cross-validation?,Answer here,beginner,supervised learning,1
What is the difference between a recommender system and a chat bot?,Answer here,intermediate,recommender systems,1
What are the types of time series analysis?,Answer here,beginner,time series,1
