question,answer,difficulty,topic
How can we use text classification to classify tweets based on their sentiments?,Answer here,advanced,text classification
How can we use machine learning techniques to improve our search engine ranking algorithms?,Answer here,intermediate,unsupervised learning
How do we deal with missing values in linear models?,Answer here,intermediate,regularization
What is mean average precision at k?,Answer here,intermediate,unsupervised learning
Is it possible to do linear models with more than one feature?,Answer here,intermediate,regularization
What do we mean by deep learning?,Answer here,intermediate,unsupervised learning
What is machine learning and how does it differ from deep learning?,Answer here,beginner,unsupervised learning
Tell me about the difference between linear regression and logistic regression?,Answer here,beginner,classification
How can you use XGBoost for text classification?,Answer here,advanced,text classification
How do you deal with the cold start problem in recommender systems?,Answer here,intermediate,recommender systems
What is precision and recall at k?,"Precision at k and recall at k are evaluation metrics for ranking algorithms. Precision at k shows the share of relevant items in the first *k* results of the ranking algorithm. And Recall at k indicates the share of relevant items returned in top *k* results out of all correct answers for a given query.

Example:
For a search query ""Car"" there are 3 relevant products in your shop. Your search algorithm returns 2 of those relevant products in the first 5 search results.
Precision at 5 = # num of relevant products in search result / k = 2/5 = 40%
Recall at 5 = # num of relevant products in search result / # num of all relevant products = 2/3 = 66.6%",intermediate,unsupervised learning
What are the key steps in building a machine learning model?,Answer here,intermediate,supervised learning
Is it possible to use the random forest model for binary classification?,Answer here,beginner,feature selection
What is ROC PR?,Answer here,intermediate,classification
What is random forest model?,Answer here,beginner,feature selection
What are the challenges in using machine learning and deep learning for NLP?,Answer here,beginner,unsupervised learning
What is clustering? When do we need it?,Clustering algorithms group objects such that similar feature points are put into the same groups (clusters) and dissimilar feature points are put into different clusters.,beginner,unsupervised learning
Possible approaches to solving the problem of building a good baselines?,Answer here,intermediate,recommender systems
How can we use CNN for text classification?,Answer here,advanced,text classification
What if we want to build a recommender system for movies?,Answer here,intermediate,recommender systems
What are some problems with using trees for solving time series problems?,Answer here,intermediate,time series
How do we deal with the imbalanced dataset in classification and regression tasks?,Answer here,beginner,classification
How do we choose the best number of trees in random forest model?,Answer here,intermediate,feature selection
What is a recommender system?,Recommender systems are software tools and techniques that provide suggestions for items that are most likely of interest to a particular user.,beginner,recommender systems
Why do we actually need convolutions? Can’t we use fully-connected layers for that?,"A fully-connected layer needs one weight per inter-layer connection, which means the number of weights which needs to be computed quickly balloons as the number of layers and nodes per layer is increased.",intermediate,neural networks
Possible approaches to solving the cold start problem?,"* Content-based filtering incorporates features about items to calculate a similarity between them. In this way, we can recommend items that have a high similarity to items that a user liked already. In this way, we are not dependent on the ratings of other users for a given item anymore and solve the cold start problem for new items.
* Demographic filtering incorporates user profiles to calculate a similarity between them and solves the cold start problem for new users.",advanced,recommender systems
Do you know how to use XGBoost for ranking?,Answer here,advanced,unsupervised learning
How would you approach this problem?,Answer here,intermediate,unsupervised learning
What are the differences between linear models and non-linear models?,Answer here,intermediate,regularization
How do we define machine learning?,Answer here,beginner,unsupervised learning
What is the difference between Linear models and Nonlinear models?,Answer here,intermediate,regularization
What are the differences between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs)?,Answer here,intermediate,neural networks
Do you know any other ways to use XGBoost or LightGBM for text classification?,Answer here,advanced,text classification
Why do we use random forest model for feature selection?,Answer here,beginner,feature selection
What is the state-of-the-art in unsupervised learning?,Answer here,beginner,unsupervised learning
What are neural nets?,Answer here,intermediate,neural networks
How can we use unsupervised learning algorithms to build recommender systems?,Answer here,intermediate,unsupervised learning
How can we use machine learning?,Answer here,beginner,unsupervised learning
Do you know how K-means works?,"1. Partition points into k subsets.
2. Compute the seed points as the new centroids of the clusters of the current partitioning.
3. Assign each point to the cluster with the nearest seed point.
4. Go back to step 2 or stop when the assignment does not change.",intermediate,unsupervised learning
How do we measure the quality of our machine learning models?,Answer here,beginner,supervised learning
How to deal with missing values in linear models?,Answer here,intermediate,regularization
Do we need to normalize the input features in linear models?,Answer here,intermediate,regularization
What is logistic regression? When do we need to use it?,"Logistic regression is a Machine Learning algorithm that is used for binary classification. You should use logistic regression when your Y variable takes only two values, e.g. True and False, ""spam"" and ""not spam"", ""churn"" and ""not churn"" and so on. The variable is said to be a ""binary"" or ""dichotomous"".",beginner,classification
Possible approaches to solving the recommender system problem?,Answer here,intermediate,recommender systems
What is the difference between random forest and gradient boosting trees?,Answer here,intermediate,feature selection
What is the difference between random forest model and gradient boosting model?,Answer here,intermediate,feature selection
Can you tell us more about how you would use XGBoost or LightGBM to solve the recommendation system problem?,Answer here,advanced,recommender systems
What do you know about time series and how it is used in forecasting?,Answer here,beginner,time series
How do we interpret the coefficients of linear models?,Answer here,intermediate,classification
How can you use word embeddings for text classification?,Answer here,advanced,text classification
What do we mean by overfitting?,Answer here,beginner,unsupervised learning
How would you use machine learning to solve this problem?,Answer here,beginner,unsupervised learning
What is deep learning and how does it differ from traditional machine learning?,Answer here,beginner,unsupervised learning
How do we choose the best number of components to use in linear models?,Answer here,intermediate,regularization
What is the difference between 2D and 3D data?,Answer here,intermediate,supervised learning
What is the difference between XGBoost and Gradient Boosting trees?,Answer here,advanced,feature selection
How do we train decision trees?,"1. Start at the root node.
2. For each variable X, find the set S_1 that minimizes the sum of the node impurities in the two child nodes and choose the split {X*,S*} that gives the minimum over all X and S.
3. If a stopping criterion is reached, exit. Otherwise, apply step 2 to each child node in turn.",intermediate,feature selection
Cold start problem?,Answer here,intermediate,recommender systems
2D Convolutional Neural Network (CNN) for Image Classification with Keras. How to set the number of filters in the first convolutional layer?,Answer here,intermediate,neural networks
What is time series analysis?,Answer here,beginner,time series
What do we mean by regression analysis?,Answer here,beginner,unsupervised learning
How do we use word embeddings?,Answer here,advanced,text classification
How do we choose K for K-fold cross-validation?,Answer here,beginner,supervised learning
What is AUC (AU ROC)? When to use it?,"AUC stands for *Area Under the ROC Curve*. ROC is a probability curve and AUC represents degree or measure of separability. It's used when we need to value how much model is capable of distinguishing between classes.  The value is between 0 and 1, the higher the better.",intermediate,classification
How do you evaluate your models?,Answer here,beginner,classification
What is the purpose of K-fold cross-validation?,Answer here,beginner,supervised learning
What is the difference between a recommender system and a chat bot?,Answer here,intermediate,recommender systems
What are the types of time series analysis?,Answer here,beginner,time series
What is time series and how it is different from other time series?,Answer here,beginner,time series
What is the area under the PR curve? Is it a useful metric?,"The Precision-Recall AUC is just like the ROC AUC, in that it summarizes the curve with a range of threshold values as a single score.

A high area under the curve represents both high recall and high precision, where high precision relates to a low false positive rate, and high recall relates to a low false negative rate.",intermediate,classification
How do we interpret the results of linear models in high-dimensional settings?,Answer here,intermediate,classification
How do we interpret L2 regularization terms in linear models?,Answer here,intermediate,regularization
What is the difference between CNN and RNN architectures for text classification?,Answer here,advanced,text classification
You have a series with a variable “y” and a set of features. How you would predict “y” at t+1?,Answer here,intermediate,time series
Do we want to have a constant learning rate or we better change it throughout training?,"Generally, it is recommended to start learning rate with relatively high value and then gradually decrease learning rate so the model does not overshoot the minima and at the same time we don't want to start with very low learning rate as the model will take too long to converge. There are many available techniques to do decay the learning rate. For example, in PyTorch you can use
a function called **StepLR** which decays the learning rate of each parameter by value **gamma**-which we have to pass through argument- after n number of epoch which you can also set through function argument named **epoch_size**.",intermediate,neural networks
How can we use CNN for object detection?,Answer here,advanced,neural networks
What is Data Science and what are its different approaches to solving problems?,Answer here,intermediate,recommender systems
What is time series and how it is different from regression?,Answer here,beginner,time series
What is Text Classification?,Answer here,advanced,text classification
How can we leverage the knowledge graph to help us in machine learning?,Answer here,beginner,unsupervised learning
What is the difference between correlation and regression analysis?,Answer here,beginner,supervised learning
What is the best way to solve this type of problem in Python?,Answer here,beginner,classification
What is regression and how it can be applied in machine learning?,Answer here,beginner,supervised learning
How can we deal with categorical features in gradient boosting models?,Answer here,intermediate,feature selection
What is text classification and what are the applications of text classification?,Answer here,advanced,text classification
How to validate your models?,"One of the most common approaches is splitting data into train, validation and test parts.
Models are trained on train data, hyperparameters (for example early stopping) are selected based on the validation data, the final measurement is done on test dataset.
Another approach is cross-validation: split dataset into K folds and each time train models on training folds and measure the performance on the validation folds.
Also you could combine these approaches: make a test/holdout dataset and do cross-validation on the rest of the data. The final quality is measured on test dataset.",beginner,supervised learning
You have a series with a variable “y” and a set of features. How do you predict “y” at t+1?,Answer here,intermediate,time series
What are the unsupervised learning techniques used in recommender systems?,Answer here,intermediate,unsupervised learning
How can we use the text embeddings to identify the relationship between two or more concepts?,Answer here,advanced,text classification
Can we apply linear models to non-linear problems?,Answer here,intermediate,regularization
What are K-fold cross-validation?,Answer here,beginner,supervised learning
What is regression? Which models can you use to solve a regression problem?,"Regression is a part of supervised ML. Regression models investigate the relationship between a dependent (target) and independent variable (s) (predictor).
Here are some common regression models

- *Linear Regression* establishes a linear relationship between target and predictor (s). It predicts a numeric value and has a shape of a straight line.
- *Polynomial Regression* has a regression equation with the power of independent variable more than 1. It is a curve that fits into the data points.
- *Ridge Regression* helps when predictors are highly correlated (multicollinearity problem). It penalizes the squares of regression coefficients but doesn’t allow the coefficients to reach zeros (uses L2 regularization).
- *Lasso Regression* penalizes the absolute values of regression coefficients and allows some of the coefficients to reach absolute zero (thereby allowing feature selection).",beginner,supervised learning
How can you use bag of words for text classification with N-grams?,Answer here,advanced,text classification
What is the difference between cross validation and k-fold cross validation?,Answer here,beginner,supervised learning
What do you think is the most important thing to know about machine learning?,Answer here,beginner,unsupervised learning
What’s the regularization term in L1 and L2 models?,Answer here,intermediate,regularization
How do you select the number of trees in the gradient boosting model?,"Most implementations of gradient boosting are configured by default with a relatively small number of trees, such as hundreds or thousands. Using scikit-learn we can perform a grid search of the n_estimators model parameter",intermediate,feature selection
What is the difference between a correlation coefficient and a linear regression coefficient?,Answer here,beginner,supervised learning
How can we use machine learning techniques to make recommendations?,Answer here,beginner,unsupervised learning
What are the key characteristics of a recommender system?,Answer here,beginner,recommender systems
Do you know how to use the gradient boosting trees for text classification?,Answer here,advanced,text classification
What are the challenges with using trees for solving time series problems?,Answer here,intermediate,time series
How do regularization techniques work?,Answer here,intermediate,regularization
What are the differences between random forest and gradient boosting trees?,Answer here,intermediate,feature selection
How do we interpret the coefficients in linear models?,Answer here,intermediate,classification
What is time series and how it differs from other time series?,Answer here,beginner,time series
How do you deal with missing values in time series?,Answer here,intermediate,time series
How do you validate your regression models?,Answer here,beginner,supervised learning
What cold start problem?,Answer here,intermediate,recommender systems
What is the difference between bag of words and n-grams?,Answer here,intermediate,text classification
What’s the difference between linear regression and logistic regression?,Answer here,beginner,classification
What is the difference between Random Forest and Gradient Boosting trees?,Answer here,intermediate,feature selection
How do we deal with categorical variables in logistic regression?,Answer here,beginner,classification
Why do we need one-hot encoding?,"If we simply encode categorical variables with a Label encoder, they become ordinal which can lead to undesirable consequences. In this case, linear models will treat category with id 4 as twice better than a category with id 2. One-hot encoding allows us to represent a categorical variable in a numerical vector space which ensures that vectors of each category have equal distances between each other. This approach is not suited for all situations, because by using it with categorical variables of high cardinality (e.g. customer id) we will encounter problems that come into play because of the curse of dimensionality.",intermediate,classification
What is the normal equation?,Normal equations are equations obtained by setting equal to zero the partial derivatives of the sum of squared errors (least squares); normal equations allow one to estimate the parameters of a multiple linear regression.,intermediate,supervised learning
How can we use machine learning techniques for recommender systems?,Answer here,beginner,recommender systems
How do you evaluate ranking algorithms?,Answer here,intermediate,unsupervised learning
What are the differences between CNN and RNN for text classification?,Answer here,advanced,text classification
How can we use text embeddings for text classification?,Answer here,advanced,text classification
"How do you deal with unstructured data, and how do you make use of the information in it?",Answer here,beginner,unsupervised learning
How do we solve time series problems?,Answer here,beginner,time series
How can we use N-grams for text classification?,Answer here,advanced,text classification
Do you know how to use XGBoost for text classification?,Answer here,advanced,text classification
What’s the L2 regularization term in linear models?,Answer here,intermediate,regularization
How do we choose K in K-fold cross-validation? What’s your favorite K?,"There are two things to consider while deciding K: the number of models we get and the size of validation set. We do not want the number of models to be too less, like 2 or 3. At least 4 models give a less biased decision on the metrics. On the other hand, we would want the dataset to be at least 20-25% of the entire data. So that at least a ratio of 3:1 between training and validation set is maintained.",beginner,supervised learning
What are the key components of data science?,Answer here,intermediate,supervised learning
How can we use GANs for text classification?,Answer here,advanced,text classification
How can you deal with the cold start problem?,Answer here,intermediate,recommender systems
What are the different types of feature selection methods?,Answer here,intermediate,feature selection
How do you evaluate the accuracy of regression models?,Answer here,beginner,classification
What is the effect of regularization parameters on linear models?,Answer here,intermediate,regularization
What is the role of AI in recommender systems?,Answer here,beginner,recommender systems
What are text embeddings?,Answer here,advanced,text classification
How would you use text classification for text classification with N-grams?,Answer here,advanced,text classification
Possible approaches to solving the problem of constructing a good baseline when building a recommender system?,Answer here,intermediate,recommender systems
Can we use word embeddings in text classification?,Answer here,advanced,text classification
What is the difference between XGBoost and LightGBM in terms of performance?,Answer here,advanced,feature selection
How do we use LightGBM models for text classification?,Answer here,advanced,text classification
How do we perform classification?,Answer here,intermediate,classification
1.What is data science and how does it differ from machine learning?,Answer here,beginner,supervised learning
How do we choose the number of features to include in a linear model?,Answer here,intermediate,regularization
How do you use XGBoost models in production?,Answer here,advanced,feature selection
How do you decide when to stop training?,Answer here,beginner,neural networks
What if we have a series with only one variable “y” measured at time t+1 and a set of features at time t?,Answer here,intermediate,time series
What is big data and what are the different types of big data?,Answer here,intermediate,supervised learning
What do you know about K-fold cross-validation?,Answer here,beginner,supervised learning
How do you evaluate the performance of machine learning models?,Answer here,beginner,supervised learning
What are the different approaches to building recommender systems?,Answer here,intermediate,recommender systems
What is the main difference between random forest model and gradient boosting tree model?,Answer here,intermediate,feature selection
How do you know when to use XGBoost or LightGBM for classification?,Answer here,advanced,feature selection
What is the difference between Gradient Boosting Trees and Random Forest?,Answer here,intermediate,feature selection
Would you prefer gradient boosting trees model or logistic regression when doing text classification with embeddings?,Answer here,intermediate,text classification
Do you know how to use GNNs for text classification?,Answer here,advanced,text classification
